  No.   Prog.    Tq[Nm]   Ang.[°]    D[mm]    PT[Nm]  Time[s]   OK/NOK     Cycle #
   37       4     11.80        38   154.97      2.89     3.78       OK     1947932
   38       3     11.51        44   157.29      3.39     3.52       OK     1947931
   39      11     11.61        43    35.16      3.75     4.27       OK     1947930
   40       2     11.53        48   154.77      3.03     3.56       OK     1947929
   41       1     11.58        48   157.28      3.30     3.48       OK     1947928
   42      10     12.21        36    41.63      3.59     2.98       OK     1947927
   43       8     12.18        33    44.23      3.48     2.95       OK     1947926
   44       7     12.73        25    45.53      3.17     2.89       OK     1947925
   45       6     12.74        41    43.58      4.03     2.87       OK     1947924
   46       5     11.46        48   154.90      3.27     3.96       OK     1947923
   47       4     11.48        59   155.17      2.73     3.79       OK     1947922
   48       3     11.62        38   157.29      3.17     3.53       OK     1947921
   49       2     11.52        48   154.86      2.82     3.72       OK     1947920
   50      11     11.60        41    35.38      4.28     4.26       OK     1947919
   51       1     11.52        48   157.28      2.98     3.51       OK     1947918
   52      10     11.98        39    41.42      3.56     2.94       OK     1947917
   53       8     12.64        42    44.35      3.44     2.94       OK     1947916
   54       7     12.30        36    45.67      3.50     3.00       OK     1947915
   55       6     12.54        47    43.58      3.74     2.96       OK     1947914
   56       5     11.74        32   154.86      3.21     3.98       OK     1947913
   57       4     11.52        42   155.14      2.72     3.77       OK     1947912
   58       3     11.75        46   157.25      3.07     3.47       OK     1947911
   59       2     11.97        36   154.82      3.09     3.63       OK     1947910
   60       1     11.54        50   157.29      3.70     3.50       OK     1947909
   61      10     11.95        43    41.64      3.14     3.10       OK     1947908
   62       8     12.74        39    44.44      3.22     2.98       OK     1947907
   63       7     12.62        39    45.74      3.51     2.90       OK     1947906
   64       6      0.40     17750     3.88      0.40     5.10    Abort     1947905
   65       6      0.41     21054    21.27      0.41     6.02      T+1     1947904
   66       5     11.55        32   154.60      2.94     3.99       OK     1947903
   67       4     11.97        37   154.86      2.69     3.68       OK     1947902
   68       3     11.59        40   157.25      3.41     3.62       OK     1947901
   69      11     11.73        48    35.09      4.08     4.28       OK     1947900
   70       2     11.59        44   154.79      2.88     3.56       OK     1947899
   71       1     11.82        33   157.28      3.70     3.50       OK     1947898
   72      10     12.31        37    41.20      3.86     3.05       OK     1947897
   73       8     12.72        42    43.93      3.41     2.96       OK     1947896
   74       7     12.85        36    45.26      3.49     2.98       OK     1947895
   75       6     12.59        31    43.28      3.65     2.89       OK     1947894
   76       5     11.39        37   154.65      3.24     3.99       OK     1947893
   77       4     11.78        42   154.86      2.75     3.73       OK     1947892
   78       3     11.82        36   157.29      3.24     3.52       OK     1947891
   79       2     12.43        33   154.82      2.67     3.60       OK     1947890
   80      11     12.47        43    35.26      3.60     4.26       OK     1947889
   81       1     11.71        33   157.27      3.12     3.49       OK     1947888
   82      10     12.48        32    41.52      3.11     2.98       OK     1947887
   83       8     12.30        36    43.92      3.50     2.92       OK     1947886
   84       7     12.40        34    45.54      3.62     2.89       OK     1947885
   85       6     12.35        39    43.76      3.55     2.87       OK     1947884
   86       5     11.70        39   155.11      2.88     3.98       OK     1947883
   87       4     11.61        46   155.32      3.05     3.75       OK     1947882
   88       3     11.82        38   157.27      2.69     3.57       OK     1947881
   89       2     11.78        36   155.05      2.74     3.63       OK     1947880
   90       1     11.93        29   157.30      3.37     3.51       OK     1947879
   91      10     12.15        39    41.64      3.49     2.96       OK     1947878
   92       8     12.38        41    44.51      3.08     2.94       OK     1947877
   93       7     13.04        36    45.72      3.19     2.88       OK     1947876
   94       6     13.85        33    43.80      3.33     2.97       OK     1947875
   95       5     11.67        36   154.60      2.88     3.83       OK     1947874
   96       4     11.57        47   154.87      2.72     3.86       OK     1947873
   97       3     11.86        29   157.28      3.06     3.68       OK     1947872
   98      11     11.82        44    35.26      4.12     4.26       OK     1947871
   99       2     11.72        46   154.74      2.48     3.53       OK     1947870
  100       1     11.73        38   157.30      3.59     3.46       OK     1947869
  101      10     12.13        39    41.71      3.53     2.96       OK     1947868
  102       8     12.39        36    44.59      3.18     2.91       OK     1947867
  103       7     13.03        28    45.61      3.72     2.89       OK     1947866
  104       6     12.81        36    43.70      3.65     2.90       OK     1947865
  105       5     11.59        34   154.75      3.19     3.96       OK     1947864
  106       4     11.60        46   154.93      2.68     3.74       OK     1947863
  107       3     11.68        33   157.27      3.29     3.68       OK     1947862
  108      11     11.38        54    35.20      4.09     4.25       OK     1947861
  109       2     11.48        46   154.85      3.04     3.55       OK     1947860
  110       1     11.72        40   157.28      3.66     3.48       OK     1947859
  111      10     12.07        46    41.55      3.54     2.95       OK     1947858
  112       8     12.90        36    44.12      3.16     2.89       OK     1947857
  113       7     12.52        39    45.56      2.97     2.87       OK     1947856
  114       6     12.46        39    43.73      3.45     2.88       OK     1947855
  115       5     11.51        44   155.07      2.96     4.01       OK     1947854
  116       4     11.41        48   155.42      2.47     3.76       OK     1947853
  117       3     11.72        44   157.27      3.04     3.52       OK     1947852
  118       2     11.80        38   155.00      2.57     3.69       OK     1947851
  119      11     11.56        46    35.32      3.42     4.26       OK     1947850
  120       1     11.45        48   157.28      3.22     3.48       OK     1947849
  121      10     12.23        36    41.49      3.65     2.96       OK     1947848
  122       8     12.74        36    44.05      3.61     2.92       OK     1947847
  123       7     12.81        34    45.60      3.51     2.86       OK     1947846
  124       6     12.50        41    43.72      3.32     2.88       OK     1947845
  125       5     11.49        39   155.10      3.15     4.08       OK     1947844
  126       5     -0.00      9037   157.20      0.03     6.03      T+2     1947843
  127       4     11.60        46   155.40      2.83     3.75       OK     1947842
  128       3     11.90        36   157.28      3.21     3.55       OK     1947841
  129       2     12.16        34   154.95      2.87     3.67       OK     1947840
  130      11     11.45        52    35.00      4.30     4.24       OK     1947839
  131       1     11.78        35   157.28      3.28     3.49       OK     1947838
  132       1      0.04     10526   157.25      0.04     6.08      T+2     1947837
  133      10     12.52        34    41.13      3.98     2.93       OK     1947836
  134       8     12.63        47    43.83      3.33     2.91       OK     1947835
  135       7     12.70        36    45.26      3.27     2.84       OK     1947834
  136       6     12.78        39    43.44      3.83     2.91       OK     1947833
  137       5     11.76        34   154.83      3.18     3.95       OK     1947832
  138       4     11.69        42   155.01      3.33     3.77       OK     1947831
  139       3     11.97        36   157.30      3.20     3.49       OK     1947830
  140       2     11.70        38   154.81      2.61     3.86       OK     1947829
  141       1     11.90        33   157.30      3.43     3.53       OK     1947828
  142      11      0.16       118    38.01      0.03     1.29      L+2     1947827
  143      10     12.60        44    41.31      3.62     2.95       OK     1947826
  144       8     12.46        44    43.88      3.30     2.92       OK     1947825
  145       7     12.58        36    45.14      3.46     2.87       OK     1947824
  146       6     12.61        36    43.26      3.49     2.86       OK     1947823
  147       5     11.51        32   154.98      2.84     3.91       OK     1947822
  148       4     11.57        36   155.19      2.80     3.78       OK     1947821
  149       3     11.87        35   157.29      2.96     3.67       OK     1947820
  150       2     11.57        40   155.18      2.64     3.62       OK     1947819
  151       1     11.85        32   157.29      3.26     3.57       OK     1947818
  152      11     11.65        59    35.40      4.37     4.29       OK     1947817
  153      10     12.37        34    41.63      3.44     2.97       OK     1947816
  154       8     12.70        39    44.27      3.20     2.94       OK     1947815
  155       7     13.06        31    45.61      3.83     2.89       OK     1947814
  156       6     14.44        39    43.87      3.46     2.89       OK     1947813
  157       5     11.48        39   155.33      3.30     4.04       OK     1947812
  158       4     11.48        42   155.64      2.59     3.81       OK     1947811
  159       3     11.97        32   157.29      3.04     3.54       OK     1947810
  160       2     11.70        40   154.97      3.02     3.72       OK     1947809
  161      11     11.74        48    35.10      4.19     4.23       OK     1947808
  162       1     11.89        42   157.28      3.44     3.52       OK     1947807
  163      10     12.69        39    41.20      3.18     2.95       OK     1947806
  164       8     12.20        39    43.82      3.50     2.95       OK     1947805
  165       7     12.86        39    45.32      3.39     2.87       OK     1947804
  166       6     12.58        42    43.44      3.85     2.86       OK     1947803
  167       5     11.52        37   154.89      3.25     3.86       OK     1947802
  168       4     11.81        35   155.16      2.88     3.72       OK     1947801
  169       3     11.86        40   157.27      3.35     3.55       OK     1947800
  170       2     11.87        38   154.97      3.00     3.59       OK     1947799
  171       1     11.93        31   157.28      3.05     3.51       OK     1947798
  172      11     11.83        43    35.42      3.88     4.29       OK     1947797
  173      10     12.10        36    41.59      3.41     3.01       OK     1947796
  174       8     11.65        34    44.44      3.16     2.95       OK     1947795
  175       7     12.28        39    45.75      3.94     2.90       OK     1947794
  176       6     12.69        36    43.93      3.59     2.98       OK     1947793
  177       5     11.64        36   155.18      2.79     4.04       OK     1947792
  178       4     11.71        40   155.50      2.64     3.82       OK     1947791
  179       3     11.80        34   157.29      2.81     3.53       OK     1947790
  180       2     11.91        38   155.01      2.67     3.79       OK     1947789
  181      11     11.57        41    35.07      3.75     4.22       OK     1947788
  182       1     11.65        34   157.28      2.93     3.51       OK     1947787
  183      10     12.25        39    41.11      3.37     2.92       OK     1947786
  184       8     12.63        39    43.96      3.47     2.91       OK     1947785
  185       7     12.55        39    45.26      3.21     2.84       OK     1947784
  186       6     12.41        41    43.44      3.98     2.92       OK     1947783
  187       5     11.45        30   154.86      3.14     3.94       OK     1947782
  188       4     11.74        42   155.11      2.90     3.84       OK     1947781
  189       3     12.14        36   157.28      3.07     3.62       OK     1947780
  190       2     12.02        38   155.00      2.76     3.58       OK     1947779
  191       1     12.05        33   157.29      2.97     3.52       OK     1947778
  192      11     11.16        46    35.43      3.47     4.22       OK     1947777
  193      10     12.00        32    41.31      3.45     3.02       OK     1947776
  194       8     12.50        36    43.93      3.21     2.93       OK     1947775
  195       7     12.42        34    45.41      3.72     2.92       OK     1947774
  196       6     12.68        36    43.38      3.47     2.99       OK     1947773
  197       5     11.55        34   154.87      2.66     3.92       OK     1947772
  198       4     12.53        36   155.09      2.68     3.75       OK     1947771
  199       3     11.59        38   157.26      3.07     3.50       OK     1947770
  200       2     11.78        33   154.94      2.80     3.58       OK     1947769
  201       1     11.96        33   157.28      3.20     3.49       OK     1947768
  202      10     12.31        44    41.08      3.89     2.93       OK     1947767
  203       7     15.21        31    45.13      3.49     2.92     Tq+2     1947766
  204       6     12.78        44    43.30      3.92     2.89       OK     1947765
  205       5     11.67        30   154.97      2.75     3.91       OK     1947764
  206       4     11.72        40   155.19      3.09     3.67       OK     1947763
  207       3     11.60        36   157.27      2.83     3.55       OK     1947762
  208       2     11.63        40   154.95      2.67     3.59       OK     1947761
  209       1     11.78        36   157.29      3.45     3.46       OK     1947760
  210      11     11.62        43    35.11      3.74     4.19       OK     1947759
  211      10     12.32        39    41.50      3.05     2.95       OK     1947758
  212       8     12.47        41    43.97      3.46     2.96       OK     1947757
  213       7     12.52        34    45.40      3.13     2.90       OK     1947756
  214       6     12.69        39    43.65      3.42     2.97       OK     1947755
  215       5     11.47        39   154.95      3.19     3.97       OK     1947754
  216       4     11.69        40   155.21      2.94     4.01       OK     1947753
  217       3     11.80        33   157.27      3.28     3.52       OK     1947752
  218       2     11.96        36   154.94      2.92     3.69       OK     1947751
  219       1     11.88        40   157.29      3.39     3.48       OK     1947750
  220      11     11.58        44    35.49      3.38     4.24       OK     1947749
  221      10     12.76        36    41.72      3.21     2.94       OK     1947748
  222       8     12.57        42    44.44      2.87     2.90       OK     1947747
  223       7     13.05        36    45.78      3.70     2.86       OK     1947746
  224       6     12.42        41    43.74      3.56     2.82       OK     1947745
  225       5     11.60        32   154.78      2.91     3.92       OK     1947744
  226       4     11.36        50   155.01      2.70     3.66       OK     1947743
  227       3     11.80        36   157.29      3.36     3.50       OK     1947742
  228       2     11.72        48   154.76      2.87     3.69       OK     1947741
  229      11     11.75        44    35.19      3.79     4.25       OK     1947740
  230       1     11.63        42   157.28      3.50     3.51       OK     1947739
  231      10     12.22        36    41.34      3.39     2.92       OK     1947738
  232       8     12.65        36    43.94      3.08     2.88       OK     1947737
  233       7     12.45        36    45.25      3.31     2.82       OK     1947736
  234       6     12.71        44    43.47      3.80     3.03       OK     1947735
  235       5     11.60        34   154.99      3.02     3.94       OK     1947734
  236       4     11.73        36   155.13      2.81     3.71       OK     1947733
  237       3     11.63        36   157.27      3.08     3.54       OK     1947732
  238       2     11.65        38   154.93      2.44     3.59       OK     1947731
  239       1     11.90        33   157.27      2.63     3.47       OK     1947730
  240      11     11.44        45    35.34      3.66     4.23       OK     1947729
  241      10     12.32        44    41.46      3.57     2.94       OK     1947728
  242       8     12.21        42    44.08      3.17     2.93       OK     1947727
  243       7     12.29        39    45.53      3.59     2.84       OK     1947726
  244       6     12.65        41    43.76      3.40     2.93       OK     1947725
  245       5     11.51        44   154.97      2.94     3.98       OK     1947724
  246       4     11.48        48   155.33      2.58     3.72       OK     1947723
  247       3     11.39        36   157.28      3.21     3.58       OK     1947722
  248       2     11.77        44   155.03      2.79     3.59       OK     1947721
  249       1     11.69        50   157.30      3.24     3.46       OK     1947720
  250      11     11.89        59    35.39      4.19     4.20       OK     1947719
  251      10     12.50        39    41.62      3.10     2.94       OK     1947718
  252       8     12.31        33    44.09      3.11     2.91       OK     1947717
  253       7     12.56        34    45.50      2.85     2.84       OK     1947716
  254       6     12.71        39    43.62      3.79     2.92       OK     1947715
  255       5     11.44        43   155.19      3.07     4.32       OK     1947714
  256       4     11.40        44   155.49      2.72     3.73       OK     1947713
  257       3     11.64        36   157.28      3.06     3.51       OK     1947712
  258       2     11.37        44   155.01      2.46     4.80       OK     1947711
  259      11     11.69        37    35.39      3.01     4.24       OK     1947710
  260       1     11.57        48   157.27      2.93     3.46       OK     1947709
  261      10     12.29        48    41.64      3.50     2.94       OK     1947708
  262       8     12.07        42    44.36      3.45     2.93       OK     1947707
  263       7     12.47        36    45.60      3.27     2.85       OK     1947706
  264       6     12.68        42    43.69      3.63     2.96       OK     1947705
  265       5     11.66        41   154.98      3.00     3.96       OK     1947704
  266       4     11.60        38   155.24      3.01     3.75       OK     1947703
  267       3     11.87        44   157.28      3.36     3.48       OK     1947702
  268       2     11.91        37   154.96      2.72     3.59       OK     1947701
  269       1     11.69        44   157.25      2.95     3.47       OK     1947700
  270      11     11.89        55    35.26      3.78     4.24       OK     1947699
  271      10     12.34        34    41.19      3.34     3.04       OK     1947698
  272       8     12.86        39    43.87      3.00     2.91       OK     1947697
  273       7     12.67        33    45.26      3.56     2.85       OK     1947696
  274       6     13.28        36    43.39      3.07     2.96       OK     1947695
  275       5     11.79        30   154.83      2.61     3.96       OK     1947694
  276       4     11.66        42   155.05      3.16     4.01       OK     1947693
  277       3     11.80        31   157.27      2.90     3.59       OK     1947692
  278       2     11.67        36   155.02      2.94     3.55       OK     1947691
  279       1     12.21        31   157.29      2.93     3.47       OK     1947690
  280      10     12.23        36    41.52      3.65     2.95       OK     1947689
  281       7     14.70        36    45.46      3.89     2.88     Tq+2     1947688
  282       6     12.80        33    43.81      3.63     2.95       OK     1947687
  283       5     11.63        37   155.18      3.12     4.04       OK     1947686
  284       4     11.43        44   155.41      2.83     3.74       OK     1947685
  285       3     12.15        40   157.27      3.10     3.59       OK     1947684
  286       2     12.04        35   154.88      2.94     3.71       OK     1947683
  287      11     11.72        48    35.11      3.46     4.25       OK     1947682
  288       1     12.04        36   157.30      3.94     3.51       OK     1947681
  289      10     12.23        39    41.50      3.72     2.95       OK     1947680
  290       8     12.53        42    44.00      3.21     2.95       OK     1947679
  291       7     13.18        34    45.43      3.08     2.87       OK     1947678
  292       6     12.39        39    43.72      3.30     2.88       OK     1947677
  293       5     11.61        37   155.02      2.84     4.34       OK     1947676
  294       4     11.89        36   155.21      2.73     3.73       OK     1947675
  295       3     11.80        36   157.27      2.98     3.50       OK     1947674
  296       2     11.76        34   154.87      3.10     3.69       OK     1947673
  297       1     11.85        34   157.29      3.47     3.50       OK     1947672
  298      11     12.19        50    35.36      4.27     4.28       OK     1947671
  299      10     12.58        39    41.25      3.33     2.94       OK     1947670
  300       8     12.46        39    43.91      3.24     2.93       OK     1947669
  301       7     12.84        31    45.25      3.49     2.89       OK     1947668
  302       6     12.68        47    43.54      3.87     2.94       OK     1947667
  303       5     11.67        37   155.07      3.18     3.96       OK     1947666
  304       4     11.64        38   155.30      2.64     3.77       OK     1947665
  305       3     11.95        38   157.29      3.17     3.56       OK     1947664
  306       2     11.94        40   155.00      3.13     3.75       OK     1947663
  307       1     11.79        34   157.29      3.00     3.54       OK     1947662
  308      11     11.94        44    35.35      3.90     4.23       OK     1947661
  309      10     12.69        36    41.54      3.39     2.95       OK     1947660
  310       8     12.32        36    44.08      2.88     2.96       OK     1947659
  311       7     12.57        36    45.56      3.43     2.90       OK     1947658
  312       6     12.67        39    43.81      3.62     2.95       OK     1947657
  313       5     11.64        43   155.15      3.11     4.01       OK     1947656
  314       4     11.41        46   155.36      2.89     6.68       OK     1947655
  315       4      0.34     21056   132.84      0.34     6.02      T+1     1947654
  316       3     11.55        36   157.28      3.14     3.55       OK     1947653
  317       2     11.79        46   154.95      3.01     3.76       OK     1947652
  318      11     11.70        46    35.42      3.52     4.28       OK     1947651
  319       1     11.84        36   157.31      3.15     3.52       OK     1947650
  320      10     12.13        36    41.48      3.46     2.94       OK     1947649
  321       8     12.20        39    44.00      2.97     2.94       OK     1947648
  322       7     12.51        31    45.41      3.67     2.92       OK     1947647
  323       6     12.75        39    43.42      3.04     2.92       OK     1947646
  324       5     11.77        35   155.01      2.66     3.87       OK     1947645
  325       4     11.70        40   155.29      2.59     3.83       OK     1947644
  326       3     11.61        34   157.26      3.10     3.57       OK     1947643
  327       2     11.73        40   155.22      2.89     3.65       OK     1947642
  328       1     11.69        40   157.29      2.82     3.54       OK     1947641
  329      10     12.39        49    41.32      3.63     3.01       OK     1947640
  330       8     12.42        34    43.97      3.93     3.04       OK     1947639
  331       7     13.06        34    45.33      2.98     2.87       OK     1947638
  332       6      0.27     17716     3.57      0.27     5.09    Abort     1947637
  333       6      0.38     21056    20.86      0.38     6.02      T+1     1947636
  334       5     11.64        41   154.88      3.38     3.92       OK     1947635
  335       4     11.65        34   155.13      2.88     3.67       OK     1947634
  336      11     11.85        42    35.22      4.03     4.26       OK     1947633
  337       2     -0.03       103   156.25      0.03     1.06      L+2     1947632
  338       1     11.83        36   157.31      3.52     3.52       OK     1947631
  339      10     12.61        44    41.34      3.37     2.95       OK     1947630
  340       8     12.82        39    43.87      3.52     2.97       OK     1947629
  341       7     12.79        36    45.29      3.33     2.91       OK     1947628
  342       6     12.40        41    43.34      3.43     2.90       OK     1947627
  343       5     11.58        37   154.98      3.33     3.91       OK     1947626
  344       4     11.87        40   155.14      2.93     3.76       OK     1947625
  345       3     12.05        36   157.27      2.67     3.67       OK     1947624
  346      11     11.84        46    33.98      3.89     4.19       OK     1947623
  347       2     11.35        54   155.04      2.98     3.61       OK     1947622
  348       1     11.69        29   157.28      3.14     3.54       OK     1947621
  349      10     12.68        34    41.24      3.11     2.98       OK     1947620
  350       8     12.53        37    43.83      3.66     2.94       OK     1947619
  351       7     12.55        28    45.17      3.65     2.87       OK     1947618
  352       6     12.89        50    43.25      4.10     2.86       OK     1947617
  353       5     11.33        39   154.91      3.02     3.93       OK     1947616
  354       4     11.73        38   155.15      2.88     3.78       OK     1947615
  355       3     11.58        38   157.26      3.03     3.52       OK     1947614
  356       2     11.69        38   154.95      2.62     3.58       OK     1947613
  357       1     11.96        38   157.30      3.20     3.48       OK     1947612
  358       1      0.07     10527   157.22      0.03     6.07      T+2     1947611
  359      11     11.67        43    34.66      3.62     4.22       OK     1947610
  360      10     12.21        32    41.32      3.42     2.93       OK     1947609
  361       8     12.33        39    43.82      3.00     2.95       OK     1947608
  362       7     13.07        31    45.26      3.39     2.85       OK     1947607
  363       6     12.74        41    43.30      3.56     2.87       OK     1947606
  364       5     11.49        30   155.00      3.03     3.96       OK     1947605
  365       4     11.63        42   155.20      2.61     3.75       OK     1947604
  366       3     13.30        38   157.28      2.91     3.58       OK     1947603
  367       2     11.59        38   155.05      2.76     3.74       OK     1947602
  368      11     11.58        43    35.36      3.40     4.23       OK     1947601
  369       1     11.82        31   157.30      2.73     3.52       OK     1947600
  370      10     12.45        29    41.51      2.93     2.96       OK     1947599
  371       8     12.50        31    44.04      3.36     3.00       OK     1947598
  372       7     12.48        36    45.55      3.37     2.95       OK     1947597
  373       6     12.31        42    43.58      4.19     2.93       OK     1947596
  374       5     11.22        35   155.16      2.96     4.17       OK     1947595
  375       4     11.69        36   155.42      2.60     3.76       OK     1947594
  376       3     12.44        36   157.27      3.08     3.53       OK     1947593
  377       2     12.80        36   154.94      2.90     3.61       OK     1947592
  378       1     11.68        42   157.25      3.24     3.57       OK     1947591
  379      11     11.62        44    35.24      3.74     4.31       OK     1947590
  380      10     12.47        34    41.44      3.85     2.93       OK     1947589
  381       8     12.85        36    44.09      3.61     2.95       OK     1947588
  382       7     12.76        31    45.57      3.15     2.89       OK     1947587
  383       6     13.99        39    43.85      3.98     2.98       OK     1947586
  384       5     11.66        35   155.14      3.22     3.92       OK     1947585
  385       4     11.77        38   155.43      3.06     3.69       OK     1947584
  386       3     11.66        39   157.27      3.25     3.55       OK     1947583
  387       2     11.91        33   154.98      3.10     3.59       OK     1947582
  388       1     11.95        36   157.28      2.92     3.52       OK     1947581
  389      11     11.86        45    35.28      3.51     4.30       OK     1947580
  390      10     12.20        39    41.16      3.02     2.94       OK     1947579
  391       8     12.47        34    43.93      3.03     2.96       OK     1947578
  392       7     14.14        39    45.33      3.31     2.89       OK     1947577
  393       6     12.93        44    43.61      3.27     2.95       OK     1947576
  394       5     11.38        41   155.04      3.46     3.99       OK     1947575
  395       4     11.92        36   155.33      2.78     3.77       OK     1947574
  396       3     11.99        38   157.26      2.95     3.59       OK     1947573
  397       2     11.74        42   154.95      2.92     3.73       OK     1947572
  398       1     11.77        31   157.28      3.44     3.54       OK     1947571
  399      11     11.11        46    35.35      3.03     4.33       OK     1947570
  400      10     12.37        31    41.43      3.49     2.94       OK     1947569
  401       8     12.53        37    44.00      3.02     2.93       OK     1947568
  402       7     12.42        31    45.38      3.32     2.92       OK     1947567
  403       6     12.85        41    43.75      3.35     5.81       OK     1947566
  404       5     11.53        41   155.22      3.34     4.59       OK     1947565
  405       4     11.82        38   155.52      2.73     3.81       OK     1947564
  406       3     11.92        31   157.28      3.04     3.61       OK     1947563
  407       2     11.73        40   154.97      2.70     3.61       OK     1947562
  408       1     11.96        31   157.29      2.82     3.52       OK     1947561
  409      11     11.89        37    35.00      3.61     4.24       OK     1947560
  410      10     12.29        39    41.33      3.12     2.95       OK     1947559
  411       8     12.35        36    43.97      3.11     2.94       OK     1947558
  412       7     12.57        34    45.42      3.52     2.88       OK     1947557
  413       6     13.65        39    43.55      3.26     2.91       OK     1947556
  414       5     11.45        37   155.06      3.15     4.01       OK     1947555
  415       4     11.54        40   155.32      2.87     4.29       OK     1947554
  416       3     12.06        42   157.29      3.51     3.53       OK     1947553
  417       2     11.22        44   155.01      2.75     3.68       OK     1947552
  418       1     12.11        33   157.32      2.91     3.54       OK     1947551
  419      11     11.44        52    35.24      4.01     4.28       OK     1947550
  420      10     12.46        39    41.31      3.65     2.94       OK     1947549
  421       8     12.26        36    43.85      3.33     2.92       OK     1947548
  422       7     12.86        33    45.37      3.37     2.85       OK     1947547
  423       6     12.23        39    43.26      3.50     2.91       OK     1947546
  424       5     11.50        32   155.00      2.44     3.92       OK     1947545
  425       4     11.76        40   155.20      2.62     3.78       OK     1947544
  426       3     11.71        38   157.29      3.10     3.63       OK     1947543
  427       2     11.88        38   155.14      2.62     3.63       OK     1947542
  428       1     12.70        29   157.27      2.59     3.50       OK     1947541
  429      10     12.22        39    41.55      3.00     3.01       OK     1947540
  430       8     12.56        39    44.19      3.40     2.99       OK     1947539
  431       7     13.12        34    45.53      3.09     2.92       OK     1947538
  432       6      0.25     17644     3.62      0.25     5.07    Abort     1947537
  433       6      0.23     21055    20.71      0.23     6.02      T+1     1947536
  434       5     11.95        35   155.21      2.61     4.18       OK     1947535
  435       4     11.38        44   155.45      2.77     4.51       OK     1947534
  436       3     11.88        40   157.25      2.89     3.56       OK     1947533
  437       2     11.67        29   155.13      2.77     3.65       OK     1947532
  438      11     11.84        43    35.12      4.30     4.22       OK     1947531
  439       1     12.21        29   157.27      3.33     3.56       OK     1947530
  440      10     12.26        39    41.19      3.40     3.05       OK     1947529
  441       8     13.08        36    43.85      3.01     2.96       OK     1947528
  442       7     12.94        33    45.39      3.45     2.91       OK     1947527
  443       6     12.42        33    43.34      3.66     2.88       OK     1947526
  444       5     11.95        43   154.94      3.06     3.93       OK     1947525
  445       4     11.90        42   155.10      2.78     3.67       OK     1947524
  446       3     11.80        35   157.29      2.92     3.56       OK     1947523
  447       2     11.66        35   154.98      2.83     3.59       OK     1947522
  448       1     11.81        34   157.28      3.16     3.50       OK     1947521
  449      11     11.59        46    35.02      4.07     4.25       OK     1947520
  450      10     12.34        36    41.39      3.52     2.94       OK     1947519
  451       8     12.47        36    43.96      3.36     2.97       OK     1947518
  452       7     12.80        34    45.49      3.49     2.89       OK     1947517
  453       6     13.00        33    43.59      3.69     2.96       OK     1947516
  454       5     11.30        37   155.06      2.90     3.97       OK     1947515
  455       4     12.02        36   155.31      2.70     3.80       OK     1947514
  456       3     11.73        34   157.29      3.01     3.62       OK     1947513
  457       2     11.71        38   154.96      2.36     3.69       OK     1947512
  458       1     11.84        32   157.28      3.13     3.52       OK     1947511
  459      11     11.74        41    35.34      3.72     4.31       OK     1947510
  460      10     12.33        37    41.51      3.65     2.98       OK     1947509
  461       8     13.34        36    44.12      3.48     2.93       OK     1947508
